code,date,sec_code,change_pct,net_amount_main,net_pct_main,net_amount_xl,net_pct_xl,net_amount_l,net_pct_l,net_amount_m,net_pct_m,net_amount_s,net_pct_s
,2025-01-02 00:00:00+08:00,000505.XSHE,-1.79,-221.0,-4.015,0.0,0.0,-221.0,-4.015,-129.0,-2.343,-47.0,-0.854
,2025-01-03 00:00:00+08:00,000505.XSHE,-4.96,-222.0,-4.042,-133.0,-2.422,-89.0,-1.621,-308.0,-5.608,-47.0,-0.856
,2025-01-06 00:00:00+08:00,000505.XSHE,0.0,-263.0,-7.01,-269.0,-7.17,6.0,0.16,81.0,2.159,-34.0,-0.906
,2025-01-07 00:00:00+08:00,000505.XSHE,1.39,-270.0,-8.507,-145.0,-4.568,-125.0,-3.938,8.0,0.252,-3.0,-0.095
,2025-01-08 00:00:00+08:00,000505.XSHE,0.0,-5.0,-0.125,1.0,0.025,-6.0,-0.15,-60.0,-1.5,-26.0,-0.65
,2025-01-09 00:00:00+08:00,000505.XSHE,1.03,184.0,5.662,238.0,7.323,-54.0,-1.662,61.0,1.877,21.0,0.646
,2025-01-10 00:00:00+08:00,000505.XSHE,-2.71,-304.0,-10.931,0.0,0.0,-304.0,-10.931,-114.0,-4.099,49.0,1.762
,2025-01-13 00:00:00+08:00,000505.XSHE,1.57,419.0,15.253,0.0,0.0,419.0,15.253,159.0,5.788,-10.0,-0.364
,2025-01-14 00:00:00+08:00,000505.XSHE,2.23,-532.0,-11.555,-102.0,-2.215,-430.0,-9.34,-75.0,-1.629,23.0,0.5
,2025-01-15 00:00:00+08:00,000505.XSHE,0.17,248.0,8.687,0.0,0.0,248.0,8.687,33.0,1.156,-13.0,-0.455
,2025-01-16 00:00:00+08:00,000505.XSHE,0.0,-474.0,-10.139,0.0,0.0,-474.0,-10.139,-95.0,-2.032,3.0,0.064
,2025-01-17 00:00:00+08:00,000505.XSHE,0.0,3.0,0.134,0.0,0.0,3.0,0.134,29.0,1.299,-22.0,-0.986
