date,code,open,high,low,close,volume,money
2025-01-02 00:00:00+08:00,000505.XSHE,6.13,6.25,5.98,6.03,90023.6,5545.19
2025-01-03 00:00:00+08:00,000505.XSHE,6.0,6.07,5.73,5.74,94662.29,5564.14
2025-01-06 00:00:00+08:00,000505.XSHE,5.74,5.82,5.57,5.74,66028.0,3786.1
2025-01-07 00:00:00+08:00,000505.XSHE,5.74,5.83,5.7,5.82,55637.0,3223.71
2025-01-08 00:00:00+08:00,000505.XSHE,5.83,5.88,5.69,5.83,69602.0,4052.23
2025-01-09 00:00:00+08:00,000505.XSHE,5.82,5.91,5.77,5.88,55927.0,3286.92
2025-01-10 00:00:00+08:00,000505.XSHE,5.85,5.88,5.72,5.72,48685.0,2836.14
2025-01-13 00:00:00+08:00,000505.XSHE,5.69,5.85,5.62,5.82,49849.19,2881.75
2025-01-14 00:00:00+08:00,000505.XSHE,5.83,5.97,5.83,5.96,78350.92,4657.86
2025-01-15 00:00:00+08:00,000505.XSHE,5.95,6.0,5.91,5.97,48495.83,2899.45
2025-01-16 00:00:00+08:00,000505.XSHE,5.99,6.05,5.93,5.97,78234.0,4704.7
2025-01-17 00:00:00+08:00,000505.XSHE,5.98,5.98,5.9,5.96,37851.0,2257.46
2025-01-20 00:00:00+08:00,000505.XSHE,5.99,6.02,5.89,5.96,40120.0,2399.41
2025-01-21 00:00:00+08:00,000505.XSHE,5.98,6.13,5.9,5.97,80154.52,4830.94
2025-01-22 00:00:00+08:00,000505.XSHE,5.96,5.98,5.89,5.9,40582.19,2409.83
2025-01-23 00:00:00+08:00,000505.XSHE,5.94,6.0,5.86,5.86,57691.0,3438.02
2025-01-24 00:00:00+08:00,000505.XSHE,5.82,5.86,5.78,5.82,50751.1,2961.91
2025-01-27 00:00:00+08:00,000505.XSHE,5.84,5.99,5.84,5.88,59321.44,3528.93
2025-02-05 00:00:00+08:00,000505.XSHE,5.93,5.94,5.84,5.87,37159.23,2195.55
2025-02-06 00:00:00+08:00,000505.XSHE,5.88,5.88,5.79,5.88,57216.01,3357.59
2025-02-07 00:00:00+08:00,000505.XSHE,5.88,6.0,5.86,5.95,99976.01,5975.23
2025-02-10 00:00:00+08:00,000505.XSHE,5.98,6.07,5.97,6.06,88359.11,5332.7
2025-02-11 00:00:00+08:00,000505.XSHE,6.08,6.09,5.98,6.03,47671.02,2880.69
2025-02-12 00:00:00+08:00,000505.XSHE,6.05,6.05,5.97,6.04,57449.01,3464.84
2025-02-13 00:00:00+08:00,000505.XSHE,6.04,6.1,6.03,6.04,61529.74,3742.01
2025-02-14 00:00:00+08:00,000505.XSHE,6.04,6.04,5.94,5.97,60676.83,3644.72
2025-02-17 00:00:00+08:00,000505.XSHE,6.0,6.1,5.95,6.08,90837.72,5508.49
2025-02-18 00:00:00+08:00,000505.XSHE,6.07,6.07,5.86,5.88,91691.77,5478.36
2025-02-19 00:00:00+08:00,000505.XSHE,5.89,5.9,5.85,5.9,53606.83,3161.84
2025-02-20 00:00:00+08:00,000505.XSHE,5.91,5.95,5.85,5.92,44792.0,2655.79
2025-02-21 00:00:00+08:00,000505.XSHE,5.89,5.95,5.85,5.91,50947.0,3010.63
2025-02-24 00:00:00+08:00,000505.XSHE,6.03,6.15,6.0,6.0,126894.69,7706.88
2025-02-25 00:00:00+08:00,000505.XSHE,5.99,5.99,5.86,5.88,70261.38,4165.75
2025-02-26 00:00:00+08:00,000505.XSHE,5.9,5.94,5.89,5.93,45341.23,2690.16
2025-02-27 00:00:00+08:00,000505.XSHE,5.93,6.05,5.92,6.02,91529.98,5511.23
2025-02-28 00:00:00+08:00,000505.XSHE,6.0,6.04,5.86,5.88,72027.59,4297.18
2025-03-03 00:00:00+08:00,000505.XSHE,5.9,5.94,5.87,5.91,55324.0,3281.87
2025-03-04 00:00:00+08:00,000505.XSHE,5.92,6.03,5.89,6.01,77057.48,4614.05
2025-03-05 00:00:00+08:00,000505.XSHE,6.05,6.06,5.89,5.94,63868.05,3808.84
2025-03-06 00:00:00+08:00,000505.XSHE,5.93,5.97,5.88,5.96,59888.1,3565.78
2025-03-07 00:00:00+08:00,000505.XSHE,5.95,5.96,5.9,5.91,42219.67,2510.9
2025-03-10 00:00:00+08:00,000505.XSHE,6.07,6.26,6.04,6.19,209810.23,12923.48
2025-03-11 00:00:00+08:00,000505.XSHE,6.09,6.16,6.07,6.15,111236.44,6828.38
2025-03-12 00:00:00+08:00,000505.XSHE,6.16,6.18,6.06,6.09,84712.0,5174.89
2025-03-13 00:00:00+08:00,000505.XSHE,6.08,6.1,5.98,6.07,70891.9,4286.04
2025-03-14 00:00:00+08:00,000505.XSHE,6.07,6.15,6.05,6.14,106021.27,6501.14
2025-03-17 00:00:00+08:00,000505.XSHE,6.15,6.21,6.13,6.18,91757.66,5684.57
2025-03-18 00:00:00+08:00,000505.XSHE,6.18,6.19,6.11,6.15,53326.48,3282.66
2025-03-19 00:00:00+08:00,000505.XSHE,6.14,6.15,6.09,6.13,42631.0,2617.52
2025-03-20 00:00:00+08:00,000505.XSHE,6.12,6.19,6.1,6.15,56444.0,3482.4
2025-03-21 00:00:00+08:00,000505.XSHE,6.15,6.25,6.13,6.16,84405.0,5235.91
2025-03-24 00:00:00+08:00,000505.XSHE,6.17,6.22,5.96,6.07,90374.0,5500.23
2025-03-25 00:00:00+08:00,000505.XSHE,6.04,6.15,6.0,6.13,72239.0,4401.38
2025-03-26 00:00:00+08:00,000505.XSHE,6.12,6.2,6.09,6.19,72154.0,4465.88
2025-03-27 00:00:00+08:00,000505.XSHE,6.17,6.21,6.09,6.12,43216.07,2658.94
2025-03-28 00:00:00+08:00,000505.XSHE,6.15,6.15,6.01,6.05,61416.0,3737.58
2025-03-31 00:00:00+08:00,000505.XSHE,6.03,6.04,5.79,5.86,88309.0,5222.84
2025-04-01 00:00:00+08:00,000505.XSHE,5.91,6.06,5.85,6.0,71576.0,4301.22
